slug,sanity_title,price_eur,held_sheet_price_eur,likely_sheet_row,note
sacred-sands-unveiling-dendera-and-abydos-from-hurghada,Dendera & Abydos from Hurghada: A Full-Day Temple Tour,,181.5,Sacred Sands: Unveiling Dendera and Abydos from Hurghada,AMBIGUOUS: one sheet row maps to several tours — confirm which
dendera-and-abydos-temples-from-luxor,Dendera and Abydos Temples: A Full-Day Tour from Luxor,,181.5,Sacred Sands: Unveiling Dendera and Abydos from Hurghada,AMBIGUOUS: one sheet row maps to several tours — confirm which
dolphin-house-shared-snorkeling-day-from-hurghada,Dolphin House Snorkeling Day from Hurghada: Shared Yacht,,,,no price in sheet — needs a fresh figure
dolphin-show-sharm-el-sheikh,Dolphin Show in Sharm El Sheikh: What to Expect,,62.5,Aquatic Acrobatics: Dolphin Show in Sharm El Sheikh,
dolphins-dance-group-shared-seas-full-day-snorkeling-tour,Dolphins Dance: A Shared Full-Day Snorkel from Hurghada,,40,Dolphins' Dance Exclusive: Private Escape Full Day Snorkeling,verify pairing (title was rewritten)
el-kab-and-esna-temple-day-tour-from-aswan,El Kab & Esna Temple Day Tour from Aswan: Egypt's Quiet Side,,122.5,Hidden Gems: El Kab and Esna Temple Day Tour from Aswan,
esna-temple-and-el-kab-day-tour-from-luxor,"Esna and El Kab Day Tour from Luxor: Temples, Tombs & Predynastic Ruins",,116.25,Riverbanks of Time: Esna and El Kab Day Tour from Luxor,AMBIGUOUS: one sheet row maps to several tours — confirm which
esna-edfu-kom-ombo-temples-group-day-tour-from-luxor,"Esna, Edfu & Kom Ombo Temples: Group Day Tour from Luxor",,116.25,Riverbanks of Time: Esna and El Kab Day Tour from Luxor,AMBIGUOUS: one sheet row maps to several tours — confirm which
fayoum-desert-adventure,"Fayoum Desert: Two Days Between Wadi al-Hitan, Wadi al-Rayan, and Lake Qarun",,,,no price in sheet — needs a fresh figure
fayoum-meidum-hawara-pyramids-group-day-tour,"Fayoum Oasis, Meidum & Hawara Pyramids: Group Day Tour from Cairo",,,,no price in sheet — needs a fresh figure
private-tour-alexandria-day-tour,Full Day Private Tour in Alexandria: What the City Actually Holds,,111.25,Alexandrian Echoes: Full Day Private Tour in Alexandria,verify pairing (title was rewritten)
private-tour-full-day-to-grand-west-bank,"Full Day on Luxor's West Bank: Tombs, Temples & the Workers Who Built Them",,,,no price in sheet — needs a fresh figure
full-day-trip-to-cairo-by-plane-from-luxor,Full-Day Cairo Trip by Plane from Luxor,,91.25,Cairo Aerial Adventure: Full-Day Trip by Plane from Luxor,
full-day-trip-to-cairo-by-plane-from-hurghada,"Full-Day Cairo by Plane from Hurghada: Pyramids, Citadel & Bazaar",,121.25,Capital Splendors: Full-Day Trip to Cairo by Plane from Hurghada,AMBIGUOUS: one sheet row maps to several tours — confirm which
dolphin-full-day-snorkeling-tour-from-hurghada,"Full-Day Private Snorkelling Tour with Dolphins, Hurghada",,,,no price in sheet — needs a fresh figure
giftun-island-shared-snorkeling-day-from-hurghada,Giftun Island Snorkeling Day from Hurghada: Shared Yacht,,,,no price in sheet — needs a fresh figure
jerusalem-dead-sea-bethlehem-group-day-tour-from-sharm,"Jerusalem, the Dead Sea & Bethlehem: Group Day Tour from Sharm El Sheikh",,0,Private Snorkelling Day Trip in Sharm El Sheikh — Red Sea Reefs,sheet price was €0 — needs a real figure
luxor-highlights-group-day-tour-from-hurghada,Luxor Highlights: Group Day Tour from Hurghada,,,,no price in sheet — needs a fresh figure
skyward-solitude-private-luxor-sunrise-hot-air-balloon-experience,Luxor Sunrise Balloon: Thirty Minutes Over the West Bank,,,,no price in sheet — needs a fresh figure
memphis-saqqara-and-dahshur-group-day-tour,"Memphis, Saqqara & Dahshur: Group Day Tour from Cairo",,,,no price in sheet — needs a fresh figure
mount-sinai-sunrise-trek-group-day-tour,Mount Sinai Sunrise Trek & St. Catherine's Monastery: Group Tour,,,,no price in sheet — needs a fresh figure
nubian-temples-day-tour-from-aswan,"Nubian Temples Day Tour from Aswan: Kalabsha, Beit el-Wali & Kertassi",,,,no price in sheet — needs a fresh figure
diving-sea-trip-in-sharm-el-sheikh,Private Snorkelling Day Trip in Sharm El Sheikh — Red Sea Reefs,,0,Private Snorkelling Day Trip in Sharm El Sheikh — Red Sea Reefs,sheet price was €0 — needs a real figure
pyramids-of-giza-and-sphinx-group-day-tour,Pyramids of Giza & the Sphinx: Group Day Tour from Cairo,,,,no price in sheet — needs a fresh figure
mount-sinai-and-st-catherine-full-day-tour-from-sharm,Sharm El Sheikh to Mount Sinai & St. Catherine: Full-Day Tour,,,,no price in sheet — needs a fresh figure
grand-west-bank-group-day-tour-luxor,The Grand West Bank: Group Day Tour from Luxor,,111.25,Valley of Nobles: Full Day to Grand West Bank Private ,verify pairing (title was rewritten)
