city,title,url,draft_changes,body_text_changed,body_size_delta,hero_alt_locales_filled,draft_last_edited,links_waiting,doc_id,decision
al-quseir,Al Quseir — Getting Here,/guide/al-quseir/how-to-go-to-al-quseir,body heroImage seo slug summary title,yes,-6362,3/3,2026-07-04,20,wp-page-58693,
al-quseir,Al Quseir — Weather and Best Time to Visit,/guide/al-quseir/weather-in-al-quseir,body heroImage seo slug summary title,yes,-3101,0/3,2026-06-12,3,wp-page-58691,
al-quseir,Tours and Excursions from Al Quseir,/guide/al-quseir/tours-in-al-quseir,body heroImage seo slug summary title,yes,-8754,3/3,2026-07-04,23,wp-page-58701,
al-wadi-al-gadid,Al Wadi al Gadid History,/guide/al-wadi-al-gadid/history-of-al-wadi-al-gadid,body heroImage seo summary title,yes,-16731,0/3,2026-06-12,16,wp-page-58729,
al-wadi-al-gadid,Al Wadi al Gadid Weather and Best Time to Visit,/guide/al-wadi-al-gadid/weather-in-al-wadi-al-gadid,body heroImage seo slug summary title,yes,-12430,3/3,2026-07-04,9,wp-page-58730,
al-wadi-al-gadid,Food in Al Wadi al Gadid,/guide/al-wadi-al-gadid/food-in-al-wadi-al-gadid,body heroImage seo slug summary title,yes,-14085,0/3,2026-06-12,18,wp-page-58752,
al-wadi-al-gadid,Where to Stay in Al Wadi al Gadid,/guide/al-wadi-al-gadid/where-to-stay-in-al-wadi-al-gadid,body heroImage section seo slug summary title,yes,-10480,0/3,2026-06-12,18,wp-page-58736,
aswan,Aswan Local Market,/guide/aswan/aswan-local-market,body heroImage placesToGoGroup seo slug summary title,yes,-4317,0/3,2026-06-12,9,wp-page-59253,
aswan,Getting Around Aswan,/guide/aswan/getting-around-in-aswan,body heroImage seo slug summary title,yes,-5446,3/3,2026-07-04,24,wp-page-59210,
aswan,Getting to Aswan,/guide/aswan/how-to-reach-aswan,body heroImage seo slug summary title,yes,-4304,3/3,2026-07-04,21,wp-page-59212,
aswan,Saint Simeon Monastery,/guide/aswan/saint-simeon-monastery,body heroImage,no,0,0/3,2026-07-05,5,guideArticle.aswan.saint-simeon-monastery,
aswan,The Aswan High Dam,/guide/aswan/aswan-high-dam,body heroImage placesToGoGroup seo summary title,yes,-14090,0/3,2026-06-12,19,wp-page-59236,
aswan,Ticket Prices for Attractions in Aswan,/guide/aswan/ticket-prices-for-attractions-in-aswan,body heroImage,no,0,3/3,2026-07-04,12,wp-page-72314,
aswan,Tombs of the Nobles in Aswan,/guide/aswan/tombs-of-the-nobles-in-aswan,body heroImage placesToGoGroup seo slug summary title,yes,-9117,0/3,2026-06-12,9,wp-page-59229,
aswan,Traditional Food in Aswan,/guide/aswan/traditional-food-in-aswan,body heroImage seo slug summary title,yes,-11740,0/3,2026-06-12,15,wp-page-59209,
asyut,Asyut History,/guide/asyut/history-of-asyut,body heroImage seo slug summary title,yes,-28545,0/3,2026-06-12,11,wp-page-59260,
asyut,Getting Around Asyut,/guide/asyut/getting-around-asyut,body heroImage seo slug summary title,yes,-10866,0/3,2026-06-12,5,wp-page-59259,
asyut,How to Get to Asyut,/guide/asyut/how-to-go-to-asyut,body heroImage seo slug summary title,yes,-12633,0/3,2026-06-12,15,wp-page-59261,
asyut,Only in Asyut,/guide/asyut/only-here-in-asyut,body heroImage seo slug summary title,yes,-11333,0/3,2026-06-12,13,wp-page-59262,
asyut,Tours and Excursions from Asyut,/guide/asyut/discover-asyut-with-tours,body heroImage seo slug summary title,yes,-16372,0/3,2026-06-12,15,wp-page-59257,
bahariya-oasis,Bahariya Oasis Weather and Best Time to Visit,/guide/bahariya-oasis/weather-in-bahariya-oasis,body heroImage seo slug summary title,yes,-12847,3/3,2026-07-04,4,wp-page-58727,
bahariya-oasis,How to Get to Bahariya Oasis,/guide/bahariya-oasis/how-to-go-to-bahariya-oasis,body heroImage seo summary title,yes,-8617,3/3,2026-07-04,13,wp-page-59287,
bahariya-oasis,Tours in Bahariya Oasis,/guide/bahariya-oasis/tours-in-bahariya-oasis,body heroImage seo slug summary title,yes,-14660,3/3,2026-07-04,17,wp-page-59283,
baris,Baris Tours,/guide/baris/baris-tours,body heroImage seo slug summary title,yes,-6768,0/3,2026-06-12,14,wp-page-59312,
baris,How to Get to Baris,/guide/baris/how-to-get-to-baris,body heroImage seo slug summary title,yes,-5815,3/3,2026-07-04,11,wp-page-59316,
beni-suef,Getting Around Beni Suef,/guide/beni-suef/getting-around-beni-suef,body heroImage seo slug summary title,yes,-6865,0/3,2026-06-12,19,wp-page-59345,
beni-suef,Getting To Beni Suef,/guide/beni-suef/how-to-reach-beni-suef,body heroImage seo summary title,yes,-8205,0/3,2026-06-12,19,wp-page-59347,
beni-suef,Only Here In Beni Suef,/guide/beni-suef/only-here-in-beni-suef,body heroImage seo slug summary title,yes,-12053,0/3,2026-06-12,18,wp-page-59348,
beni-suef,Ticket Prices for Attractions in Beni Suef,/guide/beni-suef/ticket-prices-for-attractions-in-beni-suef,body heroImage,yes,15,0/3,2026-06-12,3,wp-page-72323,
beni-suef,Tours And Excursions From Beni Suef,/guide/beni-suef/beni-suef-guided-tours,body heroImage seo slug summary title,yes,-8832,0/3,2026-06-12,13,wp-page-59376,
cairo,Cairo Food Guide,/guide/cairo/cairo-food-guide,body heroImage seo slug summary title,yes,-8550,3/3,2026-07-04,6,wp-page-59387,
cairo,Coptic Cairo,/guide/cairo/coptic-cairo,body heroImage placesToGoGroup seo summary title,yes,-9851,3/3,2026-07-04,24,wp-page-63606,
cairo,How to Get to Cairo,/guide/cairo/how-to-go-to-cairo,body heroImage seo slug summary title,yes,-6384,3/3,2026-07-04,23,wp-page-59390,
cairo,Things to Do in Cairo,/guide/cairo/things-to-do-in-cairo,body heroImage kind seo slug summary title,yes,-13090,3/3,2026-07-04,10,wp-page-59392,
cairo,Ticket Prices for Attractions in Cairo,/guide/cairo/ticket-prices-for-attractions-in-cairo,body heroImage,no,0,3/3,2026-07-04,9,wp-page-72325,
cairo,Weather in Cairo,/guide/cairo/weather-in-cairo,body heroImage seo slug summary title,yes,-5285,3/3,2026-07-04,3,wp-page-59394,
cairo,Where to Stay in Cairo,/guide/cairo/where-to-stay-in-cairo,body heroImage section seo slug summary title,yes,-975,3/3,2026-07-04,11,wp-page-59393,
dahab,Dahab Exclusives,/guide/dahab/blue-hole,heroImage hidden placesToGoGroup slug,no,0,0/3,2026-06-12,2,wp-page-59426,
dahab,Dahab History,/guide/dahab/dahab-historical-guide,body heroImage seo slug summary title,yes,-13543,0/3,2026-06-12,18,wp-page-83360,
dahab,Eating Out in Dahab,/guide/dahab/dahab-restaurants,body heroImage section seo slug summary title,yes,-5691,0/3,2026-06-12,3,wp-page-59422,
dahab,Getting Around Dahab,/guide/dahab/getting-around-dahab,body heroImage seo slug summary title,yes,-12096,3/3,2026-07-04,15,wp-page-59423,
dahab,Things to Do in Dahab,/guide/dahab/experiences-in-dahab,body heroImage kind seo slug summary title,yes,-725,3/3,2026-07-04,8,wp-page-59427,
dakhla-oasis,Dakhla Oasis History,/guide/dakhla-oasis/history-of-dakhla-oasis,body heroImage seo summary title,yes,-11380,3/3,2026-07-04,10,wp-page-59483,
dakhla-oasis,Food In Dakhla Oasis,/guide/dakhla-oasis/food-in-dakhla-oasis,body heroImage seo slug summary title,yes,-7987,0/3,2026-06-12,7,wp-page-59480,
dakhla-oasis,Getting Around Dakhla Oasis,/guide/dakhla-oasis/getting-around-in-dakhla-oasis,body heroImage seo slug summary title,yes,-7242,3/3,2026-07-04,7,wp-page-59481,
dakhla-oasis,Getting To Dakhla Oasis,/guide/dakhla-oasis/how-to-go-to-dakhla-oasis,body heroImage seo summary title,yes,-5334,3/3,2026-07-04,20,wp-page-59506,
dakhla-oasis,Only Here In Dakhla Oasis,/guide/dakhla-oasis/only-here-in-dakhla-oasis,body heroImage seo slug summary title,yes,-9606,0/3,2026-06-12,7,wp-page-59496,
dakhla-oasis,Road to Dakhla,/guide/dakhla-oasis/road-to-dakhla,body heroImage slug,no,0,0/3,2026-06-12,1,wp-page-59655,
dakhla-oasis,Things To Do In Dakhla Oasis,/guide/dakhla-oasis/things-to-do-in-dakhla-oasis,body heroImage kind seo slug summary title,yes,-7017,3/3,2026-07-04,5,wp-page-59494,
dakhla-oasis,Tours And Excursions In Dakhla Oasis,/guide/dakhla-oasis/dakhla-oasis-tours,body heroImage seo slug summary title,yes,-7655,3/3,2026-07-04,15,wp-page-59478,
dakhla-oasis,Where To Stay In Dakhla Oasis,/guide/dakhla-oasis/hotels-in-dakhla-oasis,body heroImage seo slug summary title,yes,-4859,0/3,2026-06-12,5,wp-page-59493,
edfu,Edfu History,/guide/edfu/edfu-historical-guide,body heroImage seo slug summary title,yes,1835,0/3,2026-06-12,2,wp-page-59571,
edfu,Edfu Weather And Best Time To Visit,/guide/edfu/edfu-seasonal-guide,body heroImage seo slug summary title,yes,-2343,3/3,2026-07-04,8,wp-page-59572,
edfu,Food And Drink In Edfu,/guide/edfu/edfu-food-and-drink,body heroImage seo slug summary title,yes,-3584,0/3,2026-06-12,11,wp-page-59590,
edfu,Getting Around Edfu,/guide/edfu/edfu-getting-around-guide,body heroImage seo slug summary title,yes,-699,3/3,2026-07-04,5,wp-page-59587,
edfu,Getting To Edfu,/guide/edfu/how-to-go-to-edfu,body heroImage seo slug summary title,yes,-2072,0/3,2026-06-12,17,wp-page-59585,
edfu,Things To Do In Edfu,/guide/edfu/what-to-do-in-edfu,body heroImage kind seo slug summary title,yes,-6286,3/3,2026-07-04,5,wp-page-59588,
edfu,Where To Stay In Edfu,/guide/edfu/where-to-stay-in-edfu,body heroImage section seo slug summary title,yes,-5064,3/3,2026-07-04,14,wp-page-59574,
esna,Esna History,/guide/esna/history-of-esna,body heroImage seo slug summary title,yes,-8609,0/3,2026-06-12,6,wp-page-59603,
esna,Esna Weather And Best Time To Visit,/guide/esna/esna-weather,body heroImage seo slug summary title,yes,-1011,3/3,2026-07-04,11,wp-page-59605,
esna,Food And Drink In Esna,/guide/esna/food-in-esna,body heroImage seo slug summary title,yes,-5217,0/3,2026-06-12,6,wp-page-59615,
esna,Getting Around Esna,/guide/esna/getting-around-in-esna,body heroImage seo slug summary title,yes,-2180,0/3,2026-06-12,8,wp-page-59616,
esna,Getting To Esna,/guide/esna/how-to-go-to-esna,body heroImage seo slug summary title,yes,-2740,0/3,2026-06-12,14,wp-page-68016,
esna,Things To Do In Esna,/guide/esna/things-to-do-in-esna,body heroImage kind seo slug summary title,yes,-6637,0/3,2026-06-12,9,wp-page-59610,
esna,Tours And Excursions From Esna,/guide/esna/tours-in-esna,body heroImage seo slug summary title,yes,-5669,3/3,2026-07-04,13,wp-page-59619,
esna,Where To Stay In Esna,/guide/esna/where-to-stay-in-esna,body heroImage section seo slug summary title,yes,-1710,0/3,2026-06-12,9,wp-page-59607,
farafra-oasis,Accommodations In Farafra,/guide/farafra-oasis/accommodations-in-farafra,body heroImage hidden,no,0,3/3,2026-07-04,4,wp-page-59636,
farafra-oasis,Farafra Oasis History,/guide/farafra-oasis/history-of-farafra-oasis,body heroImage seo slug summary title,yes,-8187,0/3,2026-06-12,10,wp-page-59629,
farafra-oasis,Food And Drink In Farafra Oasis,/guide/farafra-oasis/food-in-farafra-oasis,body heroImage seo slug summary title,yes,-2955,0/3,2026-06-12,5,wp-page-59645,
farafra-oasis,Getting Around In Farafra,/guide/farafra-oasis/getting-around-in-farafra,body heroImage hidden,no,0,0/3,2026-06-12,7,wp-page-59638,
farafra-oasis,How To Go To Farafra Oasis,/guide/farafra-oasis/how-to-go-to-farafra,body heroImage hidden,no,0,3/3,2026-07-04,2,wp-page-96618,
farafra-oasis,Things To Do In Farafra,/guide/farafra-oasis/things-to-do-in-farafra,body heroImage hidden,no,0,0/3,2026-06-12,3,wp-page-59642,
farafra-oasis,Tours And Expeditions From Farafra Oasis,/guide/farafra-oasis/farafra-oasis-tours,body heroImage seo slug summary title,yes,-5694,0/3,2026-06-12,21,wp-page-59644,
farafra-oasis,Weather in Farafra,/guide/farafra-oasis/weather-in-farafra,body heroImage hidden,no,0,0/3,2026-06-12,3,wp-page-59634,
giza,Getting Around Giza,/guide/giza/navigating-giza,body heroImage seo slug summary title,yes,-7866,3/3,2026-07-04,13,wp-page-60075,
giza,Giza Historical Overview,/guide/giza/giza-historical-overview,body heroImage seo slug summary title,yes,-8201,3/3,2026-07-04,12,wp-page-60061,
giza,How To Get To Giza,/guide/giza/how-to-get-to-giza,body heroImage seo slug summary title,yes,-1342,3/3,2026-07-04,20,wp-page-253700,
giza,Only Here In Giza,/guide/giza/only-in-giza,body heroImage seo slug summary title,yes,-9824,3/3,2026-07-04,11,wp-page-60081,
giza,Things To Do In Giza,/guide/giza/things-to-do-in-giza,body heroImage kind seo slug summary title,yes,-8190,3/3,2026-07-04,18,wp-page-60076,
giza,Where To Stay In Giza,/guide/giza/top-hotels-in-giza,body heroImage seo slug summary title,yes,-2762,0/3,2026-06-12,8,wp-page-60072,
hurghada,Dining in Hurghada: Where to Eat and What to Order,/guide/hurghada/what-to-eat-in-hurghada,body heroImage slug summary title,yes,-28276,0/3,2026-06-12,9,wp-page-59706,
hurghada,Discover Hurghada With Tours,/guide/hurghada/discover-hurghada-with-tours,body heroImage slug summary title,yes,-26458,3/3,2026-07-04,15,wp-page-59704,
hurghada,How to Get to Hurghada,/guide/hurghada/arrival-in-hurghada,body heroImage summary title,yes,-22803,0/3,2026-06-12,15,wp-page-78448,
hurghada,Hurghada Grand Aquarium,/guide/hurghada/hurghada-aquarium,body heroImage placesToGoGroup section slug summary title,yes,-19334,0/3,2026-06-12,6,wp-page-59711,
hurghada,Hurghada Marina,/guide/hurghada/hurghada-marina,body heroImage placesToGoGroup slug summary title,yes,-17222,0/3,2026-06-12,6,wp-page-59712,
hurghada,Hurghada Weather: A Month-by-Month Guide,/guide/hurghada/hurghada-travel-weather,body heroImage slug summary title,yes,-20020,0/3,2026-06-12,5,wp-page-59689,
hurghada,Things to Do in Hurghada,/guide/hurghada/activities-in-hurghada,body heroImage kind seo slug summary title,yes,-18353,0/3,2026-06-12,17,wp-page-59702,
ismailia,Food And Drink In Ismailia,/guide/ismailia/ismailia-flavors,body heroImage seo slug summary title,yes,-8921,0/3,2026-06-12,9,wp-page-60130,
ismailia,Getting Around Ismailia,/guide/ismailia/navigating-ismailia,body heroImage seo slug summary title,yes,-11057,0/3,2026-06-12,6,wp-page-60123,
ismailia,History Of Ismailia,/guide/ismailia/past-and-present-ismailia,body heroImage seo slug summary title,yes,-19377,0/3,2026-06-12,16,wp-page-60118,
ismailia,How To Get To Ismailia,/guide/ismailia/ismailia-arrival-guide,body heroImage seo summary title,yes,-10804,0/3,2026-06-12,9,wp-page-60121,
ismailia,Only In Ismailia,/guide/ismailia/only-here-in-ismailia,body heroImage seo slug summary title,yes,-8914,0/3,2026-06-12,9,wp-page-60133,
ismailia,Things To Do In Ismailia,/guide/ismailia/things-to-do-in-ismailia,body heroImage kind seo slug summary title,yes,-23669,0/3,2026-06-12,8,wp-page-60128,
ismailia,Where To Stay In Ismailia,/guide/ismailia/accommodation-options-ismailia,body heroImage seo slug summary title,yes,-9040,0/3,2026-06-12,7,wp-page-60122,
kharga-oasis,Food In Kharga Oasis,/guide/kharga-oasis/food-in-kharga-oasis,body heroImage seo slug summary title,yes,-14337,0/3,2026-06-12,2,wp-page-59742,
kharga-oasis,Getting Around Kharga Oasis,/guide/kharga-oasis/getting-around-in-kharga-oasis,body heroImage seo slug summary title,yes,-17159,0/3,2026-06-12,21,wp-page-59733,
kharga-oasis,How To Get To Kharga Oasis,/guide/kharga-oasis/how-to-go-to-kharga-oasis,body heroImage seo summary title,yes,-14023,3/3,2026-07-04,20,wp-page-253330,
kharga-oasis,Kharga Oasis History,/guide/kharga-oasis/kharga-oasis-history,body heroImage seo slug summary title,yes,-12388,3/3,2026-07-04,15,wp-page-78361,
kharga-oasis,Kharga Oasis Weather And Best Time To Visit,/guide/kharga-oasis/kharga-oasis-weather,body heroImage seo slug summary title,yes,-12193,0/3,2026-06-12,13,wp-page-59731,
kharga-oasis,Kharga unearthed,/guide/kharga-oasis/kharga-unearthed,body heroImage hidden,no,0,0/3,2026-06-12,3,wp-page-59749,
kharga-oasis,Where To Stay In Kharga Oasis,/guide/kharga-oasis/where-to-stay-in-kharga-oasis,body heroImage section seo slug summary title,yes,-11994,0/3,2026-06-12,19,wp-page-59734,
kom-ombo,Annual Events In Kom Ombo,/guide/kom-ombo/annual-events-in-kom-ombo,body heroImage seo slug summary title,yes,-9156,0/3,2026-06-12,10,wp-page-78375,
kom-ombo,Getting Around Kom Ombo,/guide/kom-ombo/public-transport-in-kom-ombo,body heroImage seo slug summary title,yes,-10465,0/3,2026-06-12,16,wp-page-78784,
kom-ombo,Getting To Kom Ombo,/guide/kom-ombo/arrival-in-kom-ombo,body heroImage seo slug summary title,yes,-13605,0/3,2026-06-12,15,wp-page-60624,
kom-ombo,History Of Kom Ombo,/guide/kom-ombo/history-of-kom-ombo,body heroImage seo slug summary title,yes,-17768,3/3,2026-07-04,13,wp-page-78370,
kom-ombo,Kom Ombo Weather And Best Time To Visit,/guide/kom-ombo/kom-ombo-travel-weather,body heroImage seo slug summary title,yes,-15113,0/3,2026-06-12,16,wp-page-78374,
kom-ombo,Things To Do In Kom Ombo,/guide/kom-ombo/kom-ombo-unforgettable-moments,body heroImage kind seo slug summary title,yes,-15825,3/3,2026-07-04,14,wp-page-60631,
kom-ombo,Tours And Excursions From Kom Ombo,/guide/kom-ombo/discover-kom-ombo-with-tours,body heroImage seo slug summary title,yes,-2772,3/3,2026-07-04,19,wp-page-60628,
kom-ombo,What To Eat In Kom Ombo,/guide/kom-ombo/what-to-eat-in-kom-ombo,body heroImage seo slug summary title,yes,-12940,0/3,2026-06-12,9,wp-page-78380,
kom-ombo,Where To Stay When Visiting Kom Ombo,/guide/kom-ombo/where-to-sleep-in-kom-ombo,body heroImage seo slug summary title,yes,-14407,0/3,2026-06-12,14,wp-page-78376,
luxor,Cultural Events in Luxor,/guide/luxor/cultural-events-in-luxor,body heroImage seo slug summary title,yes,-24800,0/3,2026-06-12,17,wp-page-60661,
luxor,Getting Around Luxor,/guide/luxor/luxor-local-transport-guide,body heroImage seo slug summary title,yes,-12761,0/3,2026-06-12,24,wp-page-60654,
luxor,Luxor — Getting Here,/guide/luxor/travel-to-luxor,body heroImage slug summary title,yes,-20988,3/3,2026-07-04,24,wp-page-60644,
luxor,Luxor — History,/guide/luxor/luxor-ancient-past,body heroImage slug summary title,yes,-34374,3/3,2026-07-04,21,wp-page-60643,
luxor,Luxor — Places to Stay,/guide/luxor/places-to-stay-in-luxor,body heroImage section slug summary title,yes,-21793,3/3,2026-07-04,21,wp-page-60649,
luxor,Luxor — Things to Do,/guide/luxor/what-to-do-in-luxor,body heroImage kind slug summary title,yes,-32934,3/3,2026-07-04,21,wp-page-60648,
luxor,Luxor — Weather and Best Time to Visit,/guide/luxor/luxor-climate,body heroImage slug summary title,yes,-23040,3/3,2026-07-04,18,wp-page-60647,
luxor,Restaurants in Luxor,/guide/luxor/top-restaurants-in-luxor,body heroImage seo slug summary title,yes,-25888,0/3,2026-06-12,8,wp-page-60657,
luxor,Ticket Prices for Attractions in Luxor,/guide/luxor/ticket-prices-for-attractions-in-luxor,body heroImage,no,0,3/3,2026-07-04,13,wp-page-72343,
luxor,Tours and Excursions from Luxor,/guide/luxor/explore-luxor-tours,body heroImage seo slug summary title,yes,-36844,3/3,2026-07-04,24,wp-page-60653,
marsa-alam,Food in Marsa Alam,/guide/marsa-alam/marsa-alam-flavors,body heroImage seo slug summary title,yes,-18927,0/3,2026-06-12,16,wp-page-78403,
marsa-alam,Getting Around Marsa Alam,/guide/marsa-alam/getting-around-in-marsa-alam,body heroImage seo slug summary title,yes,-25922,0/3,2026-06-12,23,wp-page-78399,
marsa-alam,History of Marsa Alam,/guide/marsa-alam/past-and-present-marsa-alam,body heroImage seo summary title,yes,-19597,3/3,2026-07-04,16,wp-page-60712,
marsa-alam,How to Get to Marsa Alam,/guide/marsa-alam/marsa-alam-arrival-guide,body heroImage seo summary title,yes,-14344,0/3,2026-06-12,23,wp-page-60719,
marsa-alam,Only in Marsa Alam: The Dugong,/guide/marsa-alam/only-in-marsa-alam,body heroImage seo slug summary title,yes,-21960,3/3,2026-07-04,5,wp-page-60706,
marsa-alam,The Town of Marsa Alam,/guide/marsa-alam/the-town-of-marsa-alam,body heroImage placesToGoGroup seo summary,yes,-17622,3/3,2026-07-04,14,wp-page-60695,
marsa-alam,Things To Do in Marsa Alam,/guide/marsa-alam/things-to-do-in-marsa-alam,body heroImage kind seo slug summary title,yes,-33800,3/3,2026-07-04,18,wp-page-78400,
marsa-alam,Tours and Excursions from Marsa Alam,/guide/marsa-alam/best-marsa-alam-tours,body heroImage seo slug summary title,yes,-20257,3/3,2026-07-04,19,wp-page-60207,
marsa-alam,Where to Stay in Marsa Alam,/guide/marsa-alam/accommodation-options-marsa-alam,body heroImage seo slug summary title,yes,-14783,3/3,2026-07-04,13,wp-page-78396,
marsa-matruh,Events in Marsa Matruh,/guide/marsa-matruh/marsa-matruh-events,body heroImage seo slug summary title,yes,-22063,0/3,2026-06-12,7,wp-page-60238,
marsa-matruh,Food in Marsa Matruh,/guide/marsa-matruh/food-in-marsa-matruh,body heroImage seo slug summary title,yes,-24895,0/3,2026-06-12,9,wp-page-60237,
marsa-matruh,Getting Around Marsa Matruh,/guide/marsa-matruh/getting-around-marsa-matruh,body heroImage seo slug summary title,yes,-14912,0/3,2026-06-12,12,wp-page-60229,
marsa-matruh,Getting to Marsa Matruh,/guide/marsa-matruh/how-to-go-to-marsa-matruh,body heroImage seo slug summary title,yes,-22576,0/3,2026-06-12,12,wp-page-60227,
marsa-matruh,History of Marsa Matruh,/guide/marsa-matruh/history-of-marsa-matruh,body heroImage seo summary title,yes,-30258,3/3,2026-07-04,17,wp-page-60223,
marsa-matruh,Things to Do in Marsa Matruh,/guide/marsa-matruh/things-to-do-in-marsa-matruh,body heroImage kind seo slug summary title,yes,-34082,0/3,2026-06-12,20,wp-page-60230,
marsa-matruh,Tours and Excursions from Marsa Matruh,/guide/marsa-matruh/tours-in-marsa-matruh,body heroImage seo slug summary title,yes,-28186,0/3,2026-06-12,12,wp-page-60231,
marsa-matruh,Weather in Marsa Matruh,/guide/marsa-matruh/marsa-matruh-weather-overview,body heroImage section seo slug summary title,yes,-15575,0/3,2026-06-12,15,wp-page-60224,
nuweiba,Events and Cultural Life in Nuweiba,/guide/nuweiba/cultural-events-in-nuweiba,body heroImage seo slug summary title,yes,-15538,0/3,2026-06-12,18,wp-page-60303,
nuweiba,Food and Drink in Nuweiba,/guide/nuweiba/nuweiba-dining-experiences,body heroImage seo slug summary title,yes,-12830,0/3,2026-06-12,6,wp-page-75859,
nuweiba,Getting Around Nuweiba,/guide/nuweiba/getting-around-nuweiba,body heroImage seo slug summary title,yes,-12444,0/3,2026-06-12,10,wp-page-60300,
nuweiba,Nuweiba Tarabeen,/guide/nuweiba/nuweiba-tarabeen,body heroImage slug summary title,yes,-13196,3/3,2026-07-04,3,wp-page-60736,
nuweiba,Nuweiba Weather and Best Time to Visit,/guide/nuweiba/nuweiba-weather-guide,body heroImage seo slug summary title,yes,-14408,0/3,2026-06-12,8,wp-page-60297,
nuweiba,Only in Nuweiba,/guide/nuweiba/only-in-nuweiba,body heroImage seo slug summary title,yes,-14526,0/3,2026-06-12,12,wp-page-60304,
nuweiba,Things to Do in Nuweiba,/guide/nuweiba/things-to-do-in-nuweiba,body heroImage kind seo slug summary title,yes,-21283,3/3,2026-07-04,10,wp-page-60301,
nuweiba,Where to Stay in Nuweiba,/guide/nuweiba/nuweiba-hotel-guide,body heroImage seo slug summary title,yes,-11703,0/3,2026-06-12,9,wp-page-60299,
port-said,Food and Drink in Port Said,/guide/port-said/port-said-food-and-drink,body heroImage slug summary title,yes,-15453,0/3,2026-06-12,3,wp-page-60353,
port-said,Getting Around Port Said,/guide/port-said/port-said-getting-around-guide,body heroImage slug summary title,yes,-14472,0/3,2026-06-12,8,wp-page-60350,
port-said,Port Said History,/guide/port-said/port-said-historical-guide,body heroImage slug summary title,yes,-26886,0/3,2026-06-12,11,wp-page-60345,
port-said,Port Said Weather and Best Time to Visit,/guide/port-said/port-said-seasonal-guide,body heroImage slug summary title,yes,-11571,0/3,2026-06-12,11,wp-page-60347,
port-said,The Suez Canal House,/guide/port-said/suez-canal-house,body heroImage parentCity slug summary title,yes,-12303,0/3,2026-06-12,9,wp-page-76463,
port-said,The Waterfront Quarter,/guide/port-said/waterfront-quarter-port-said,body heroImage slug summary title,yes,-19224,0/3,2026-06-12,8,wp-page-76458,
port-said,Things to Do in Port Said,/guide/port-said/things-to-do-in-port-said,body heroImage kind slug summary title,yes,-19637,0/3,2026-06-12,15,wp-page-60351,
port-said,Where to Stay in Port Said,/guide/port-said/lodging-in-port-said,body heroImage slug summary title,yes,-14275,0/3,2026-06-12,11,wp-page-60349,
qena,Events in Qena,/guide/qena/upcoming-events-in-qena,body heroImage seo slug summary title,yes,-24065,0/3,2026-06-12,13,wp-page-76533,
