region,city,city_slug,doc_id,en_slug,en_title,es_title,ja_title,has_photo_hero,legacy_wp,duplicate_flag,descriptors_en,descriptors_es,descriptors_ja,gap_text_en,gap_text_es,gap_text_ja,trough_text_en,trough_text_es,trough_text_ja,caption_en,caption_es,caption_ja,season_label_en,season_label_es,season_label_ja
upper-egypt,Edfu,edfu,wp-page-59572,edfu-seasonal-guide,Edfu Seasonal Guide,Clima en Edfu,エドフの気候と季節,yes,yes,,,,,,,,,,,,,,,,
upper-egypt,Esna,esna,wp-page-59605,esna-weather,Esna Weather,Clima en Esna,エスナの天候情報,yes,yes,,,,,,,,,,,,,,,,
upper-egypt,Kom Ombo,kom-ombo,wp-page-78374,kom-ombo-travel-weather,Kom Ombo Travel Weather,Clima y Estaciones en Kom Ombo,コム・オンボの天気と気温,yes,yes,,,,,,,,,,,,,,,,
upper-egypt,Luxor,luxor,wp-page-60647,luxor-climate,Luxor Climate,Pronostico Del Tiempo Para Luxor,ルクソールの気候と季節,yes,yes,,,,,,,,,,,,,,,,
upper-egypt,Qena,qena,wp-page-60321,weather-in-qena,Weather in Qena,Como Es El Clima En Qena,ケナの天候情報,yes,yes,,,,,,,,,,,,,,,,
upper-egypt,Sohag,sohag,wp-page-60533,sohag-weather-guide,Seasons Travel Guide,Pronóstico del Tiempo para Sohag,ソハーグの天候情報,yes,yes,,,,,,,,,,,,,,,,
western-desert,Bahariya Oasis,bahariya-oasis,wp-page-58727,weather-in-bahariya-oasis,Weather In Bahariya Oasis,Clima en el Oasis de Bahariya,バハリヤ・オアシスの気候,yes,yes,,,,,,,,,,,,,,,,
western-desert,Baris,baris,wp-page-59314,weather-in-baris,Baris Weather and Best Time to Visit,El clima en Baris y la mejor época para visitarla,バリスの天気とベストシーズン,no,yes,,,,,,,,,,,,,,,,
western-desert,Dakhla Oasis,dakhla-oasis,wp-page-59501,when-to-explore-dakhla-oasis,Dakhla Oasis Weather And Best Time To Visit,Clima del oasis de Dakhla y mejor época para visitarlo,ダフラ・オアシスの天気とベストシーズン,no,yes,DRAFT-DUP-drafts.wp-page-94706,,,,,,,,,,,,,,,,
western-desert,Farafra Oasis,farafra-oasis,guideArticle.farafra-oasis.weather-in-farafra-oasis,weather-in-farafra-oasis,Farafra Oasis Weather And Best Time To Visit,El clima en Farafra y la mejor época para visitar,ファラフラ・オアシスの天気とベストシーズン,no,no,DUP-farafra-oasis,,,,,,,,,,,,,,,,
western-desert,Farafra Oasis,farafra-oasis,wp-page-59634,weather-in-farafra,Weather in Farafra,Como es el Clima en Farafra Oasis,ファラフラ・オアシスの気候と季節,yes,yes,DUP-farafra-oasis,,,,,,,,,,,,,,,,
western-desert,Kharga Oasis,kharga-oasis,wp-page-59731,kharga-oasis-weather,Kharga Oasis Weather,Oasis Kharga Y Su Clima,ハルガダの天気予報,yes,yes,JA-TITLE-BUG-says-Hurghada,,,,,,,,,,,,,,,,
western-desert,Siwa Oasis,siwa-oasis,guideArticle.siwa-oasis.weather-in-siwa-oasis,weather-in-siwa-oasis,Siwa Weather and Best Time to Visit,Guía del tiempo en el oasis de Siwa,シワの気候とベストシーズン,no,no,DUP-siwa-oasis,,,,,,,,,,,,,,,,
western-desert,Siwa Oasis,siwa-oasis,wp-page-60506,siwa-weather-guide,Siwa Weather Guide,Clima y Estaciones en el Oasis de Siwa,シワ・オアシスの気候と季節,yes,yes,DUP-siwa-oasis,,,,,,,,,,,,,,,,
