verdict,doc_id,type,title,city,section,page_url,current_image_url,current_image_shows
mismatch,wp-page-60123,guideArticle,Navigating Ismailia,Ismailia,while-you-are-there,https://travel2egypt.org/guide/ismailia/navigating-ismailia,https://cdn.sanity.io/images/ufallvd2/production/7048539034f1a14ad68db84f4198aee600c891ce-900x572.jpg,"Red Sea beach resort with thatched umbrellas, reef and dive boats"
mismatch,wp-page-60133,guideArticle,Only Here In Ismailia,Ismailia,others,https://travel2egypt.org/guide/ismailia/only-here-in-ismailia,https://cdn.sanity.io/images/ufallvd2/production/a382d7c939cdd681d5f006e1cb6bb5e9bab1be1d-1400x930.jpg,colorful Red Sea coral reef with tropical fish
mismatch,wp-page-60118,guideArticle,Past and Present Ismailia,Ismailia,introducing,https://travel2egypt.org/guide/ismailia/past-and-present-ismailia,https://cdn.sanity.io/images/ufallvd2/production/76a8d2685f3e2c1806b6e44b13b77dc5974e9d34-1200x800.jpg,Man in traditional dress walking across desert dunes
mismatch,wp-page-60128,guideArticle,Things To Do In Ismailia: Must-See Places & Unique Experiences,Ismailia,while-you-are-there,https://travel2egypt.org/guide/ismailia/things-to-do-in-ismailia,https://cdn.sanity.io/images/ufallvd2/production/5e0094d95b68566bf92f47db1b7c2366dbfd35b3-1200x750.jpg,green sea turtle swimming underwater
mismatch,wp-page-59742,guideArticle,Food in Kharga Oasis,Kharga Oasis,while-you-are-there,https://travel2egypt.org/guide/kharga-oasis/food-in-kharga-oasis,https://cdn.sanity.io/images/ufallvd2/production/eee36017ea4bd366846c3912fa0fd89d50d8118f-680x450.jpg,Hathor-headed temple columns (Nile-valley pharaonic temple)
mismatch,wp-page-59734,guideArticle,Where To Stay In Kharga Oasis,Kharga Oasis,plan-your-trip,https://travel2egypt.org/guide/kharga-oasis/where-to-stay-in-kharga-oasis,https://cdn.sanity.io/images/ufallvd2/production/a30372ae0f08f4d2b5c0084ccda6c7e642b55c71-900x600.jpg,ancient Saqqara / Step Pyramid Djoser complex ruins
mismatch,wp-page-60689,guideArticle,Wadi El Gamal National Park,Marsa Alam,places-to-go,https://travel2egypt.org/guide/marsa-alam/wadi-el-gamal-national-park,https://cdn.sanity.io/images/ufallvd2/production/d13f92d67c5df83a79ba91e50fb95d6cd0fa4df7-600x400.jpg,large resort hotel with blue swimming pool
mismatch,wp-page-60237,guideArticle,Food in Marsa Matruh,Marsa Matruh,while-you-are-there,https://travel2egypt.org/guide/marsa-matruh/food-in-marsa-matruh,https://cdn.sanity.io/images/ufallvd2/production/768a74be0bc612f5cee8873f021731032f737821-425x265.jpg,Red Sea snorkelling boats over turquoise reef (Hurghada-style)
mismatch,wp-page-60229,guideArticle,Getting Around Marsa Matruh,Marsa Matruh,while-you-are-there,https://travel2egypt.org/guide/marsa-matruh/getting-around-marsa-matruh,https://cdn.sanity.io/images/ufallvd2/production/76a8d2685f3e2c1806b6e44b13b77dc5974e9d34-1200x800.jpg,Man in traditional dress walking across desert dunes
mismatch,wp-page-60227,guideArticle,How To Go to Marsa Matruh,Marsa Matruh,plan-your-trip,https://travel2egypt.org/guide/marsa-matruh/how-to-go-to-marsa-matruh,https://cdn.sanity.io/images/ufallvd2/production/752211618fa4b51d2735c1a62f79efe97d55d53b-1200x900.jpg,People around a campfire beside a desert lake at dusk
mismatch,wp-page-60238,guideArticle,Marsa Matruh Events,Marsa Matruh,others,https://travel2egypt.org/guide/marsa-matruh/marsa-matruh-events,https://cdn.sanity.io/images/ufallvd2/production/768a74be0bc612f5cee8873f021731032f737821-425x265.jpg,Red Sea snorkelling boats over turquoise reef
mismatch,wp-page-60231,guideArticle,Tours In Marsa Matruh,Marsa Matruh,others,https://travel2egypt.org/guide/marsa-matruh/tours-in-marsa-matruh,https://cdn.sanity.io/images/ufallvd2/production/63a192478ec9e744aee0dacab5f1b267d25e7430-1200x800.jpg,Man in a hammock over turquoise Red Sea lagoon
mismatch,wp-page-60299,guideArticle,Nuweiba Hotel Guide,Nuweiba,while-you-are-there,https://travel2egypt.org/guide/nuweiba/nuweiba-hotel-guide,https://cdn.sanity.io/images/ufallvd2/production/a005abd6907997e18f769a9eabd8f04efa755b14-680x452.jpg,Close-up of a Nile-valley temple relief carving of a deity
mismatch,wp-page-60297,guideArticle,Nuweiba Weather Guide,Nuweiba,plan-your-trip,https://travel2egypt.org/guide/nuweiba/nuweiba-weather-guide,https://cdn.sanity.io/images/ufallvd2/production/752211618fa4b51d2735c1a62f79efe97d55d53b-1200x900.jpg,People around a campfire beside a desert lake at dusk
mismatch,wp-page-60304,guideArticle,Only In Nuweiba,Nuweiba,others,https://travel2egypt.org/guide/nuweiba/only-in-nuweiba,https://cdn.sanity.io/images/ufallvd2/production/976abbccc3adf916af6d90acee85595948366b9b-1400x933.jpg,Nile river cruise ship moored on the riverbank
mismatch,wp-page-60349,guideArticle,Lodging in Port Said,Port Said,while-you-are-there,https://travel2egypt.org/guide/port-said/lodging-in-port-said,https://cdn.sanity.io/images/ufallvd2/production/76a8d2685f3e2c1806b6e44b13b77dc5974e9d34-1200x800.jpg,Man in traditional dress walking across desert dunes
mismatch,wp-page-60353,guideArticle,Port Said Food and Drink,Port Said,while-you-are-there,https://travel2egypt.org/guide/port-said/port-said-food-and-drink,https://cdn.sanity.io/images/ufallvd2/production/a382d7c939cdd681d5f006e1cb6bb5e9bab1be1d-1400x930.jpg,colorful Red Sea coral reef with tropical fish
mismatch,wp-page-60350,guideArticle,Port Said Getting Around Guide,Port Said,while-you-are-there,https://travel2egypt.org/guide/port-said/port-said-getting-around-guide,https://cdn.sanity.io/images/ufallvd2/production/b0f0b7979d9931f6c73ea98096e9e3ceda8278b2-1200x450.jpg,Red Sea turquoise bay with yachts and swimmers (Hurghada/Giftun-style)
mismatch,wp-page-60345,guideArticle,Port Said Historical Guide,Port Said,introducing,https://travel2egypt.org/guide/port-said/port-said-historical-guide,https://cdn.sanity.io/images/ufallvd2/production/3642f8a459d03ff031f48ecdd29d24c595593b9c-1200x796.jpg,Boat on blue sea before rugged mountains (Gulf of Aqaba/Sinai coast)
mismatch,wp-page-60347,guideArticle,Port Said Seasonal Guide,Port Said,plan-your-trip,https://travel2egypt.org/guide/port-said/port-said-seasonal-guide,https://cdn.sanity.io/images/ufallvd2/production/de98356b74a8b565252a997aca58b3e0c1bf0b1e-1200x675.jpg,Rugged Sinai mountains at sunrise with camel silhouette (Mount Sinai/St Catherine)
mismatch,wp-page-60351,guideArticle,Things to Do in Port Said,Port Said,while-you-are-there,https://travel2egypt.org/guide/port-said/things-to-do-in-port-said,https://cdn.sanity.io/images/ufallvd2/production/b0f0b7979d9931f6c73ea98096e9e3ceda8278b2-1200x450.jpg,Red Sea turquoise bay with yachts and swimmers
mismatch,wp-page-60340,guideArticle,Only In Qena,Qena,others,https://travel2egypt.org/guide/qena/only-in-qena,https://cdn.sanity.io/images/ufallvd2/production/4591a2f61a0db2ee9242e47ca3df97a336c4ad87-1400x933.jpg,Underwater Red Sea coral reef teeming with tropical fish
mismatch,wp-page-76533,guideArticle,Upcoming Events In Qena,Qena,others,https://travel2egypt.org/guide/qena/upcoming-events-in-qena,https://cdn.sanity.io/images/ufallvd2/production/904a1cff2d08dd558010bb268f2355ba33547bfa-600x387.jpg,Temple of Kom Ombo columns with crocodile/relief carvings under blue sky
mismatch,wp-page-60388,guideArticle,Only In Ras Sudr,Ras Sudr,others,https://travel2egypt.org/guide/ras-sudr/only-in-ras-sudr,https://cdn.sanity.io/images/ufallvd2/production/0f24d97dccc38badb5798d997665ebef5fe80ea4-2000x1078.jpg,Luxor Temple illuminated at night (Nile-valley monument)
mismatch,wp-page-60370,guideArticle,Ras Sudr Ancient Past,Ras Sudr,introducing,https://travel2egypt.org/guide/ras-sudr/ras-sudr-ancient-past,https://cdn.sanity.io/images/ufallvd2/production/752211618fa4b51d2735c1a62f79efe97d55d53b-1200x900.jpg,People around a campfire beside a desert lake at dusk
mismatch,wp-page-60424,guideArticle,Best Rosetta Tours,Rosetta Rasheed,others,https://travel2egypt.org/guide/rosetta-rasheed/best-rosetta-tours,https://cdn.sanity.io/images/ufallvd2/production/976abbccc3adf916af6d90acee85595948366b9b-1400x933.jpg,Nile river cruise ship moored on the riverbank
mismatch,wp-page-60422,guideArticle,Getting Around Rosetta,Rosetta Rasheed,while-you-are-there,https://travel2egypt.org/guide/rosetta-rasheed/getting-around-rosetta,https://cdn.sanity.io/images/ufallvd2/production/18db26b8948c41cff733a17b3ca0c72fe7f97b90-1200x800.jpg,silhouetted group watching sunset over desert dunes
mismatch,wp-page-60426,guideArticle,Only In Rosetta,Rosetta Rasheed,others,https://travel2egypt.org/guide/rosetta-rasheed/only-in-rosetta,https://cdn.sanity.io/images/ufallvd2/production/8cc38ae7f882adea705317d313819f3feb952dbf-1400x933.jpg,turquoise Red Sea beach bay with sun umbrellas and boats
mismatch,wp-page-60416,guideArticle,Past and Present Rosetta,Rosetta Rasheed,introducing,https://travel2egypt.org/guide/rosetta-rasheed/past-and-present-rosetta,https://cdn.sanity.io/images/ufallvd2/production/845f383c1c8ce2b6dfcd8face85afc8dacebd170-1400x933.jpg,Coptic monastery with twin cross-topped bell towers in desert
mismatch,wp-page-75799,guideArticle,Places To Go In Rosetta,Rosetta Rasheed,others,https://travel2egypt.org/guide/rosetta-rasheed/places-to-go-in-rosetta,https://cdn.sanity.io/images/ufallvd2/production/e1773fd62d2fac5232a2987e9f754b59a205e24c-1200x800.jpg,Red Sea coral reef with a free-diver
mismatch,wp-page-60420,guideArticle,Rosetta Arrival Guide,Rosetta Rasheed,plan-your-trip,https://travel2egypt.org/guide/rosetta-rasheed/rosetta-arrival-guide,https://cdn.sanity.io/images/ufallvd2/production/8f4f2318f7090552b7175b211f81aa213bfdf585-400x258.jpg,"Colossus of Ramses II at Luxor Temple, lit at night"
mismatch,wp-page-60421,guideArticle,Stay in Rosetta,Rosetta Rasheed,plan-your-trip,https://travel2egypt.org/guide/rosetta-rasheed/stay-in-rosetta,https://cdn.sanity.io/images/ufallvd2/production/18db26b8948c41cff733a17b3ca0c72fe7f97b90-1200x800.jpg,silhouetted group watching sunset over desert dunes
mismatch,wp-page-60425,guideArticle,Taste of Rosetta,Rosetta Rasheed,while-you-are-there,https://travel2egypt.org/guide/rosetta-rasheed/taste-of-rosetta,https://cdn.sanity.io/images/ufallvd2/production/2db9be88bfe6094158cb780900bec11cdf9fe1df-1200x800.jpg,"Meidum Pyramid rising from desert (Beni Suef region, inland)"
mismatch,wp-page-60423,guideArticle,Things To Do In Rosetta,Rosetta Rasheed,while-you-are-there,https://travel2egypt.org/guide/rosetta-rasheed/things-to-do-in-rosetta,https://cdn.sanity.io/images/ufallvd2/production/07dee78646e66dc8ec52b99461f92d2d0d62ebc8-1200x800.jpg,Temple of Kalabsha / Aswan-area sandstone temple in rocky desert
mismatch,wp-page-60419,guideArticle,When to Go Rosetta,Rosetta Rasheed,plan-your-trip,https://travel2egypt.org/guide/rosetta-rasheed/when-to-go-rosetta,https://cdn.sanity.io/images/ufallvd2/production/f1f8723c3aaf4d7a47c6abd4924581b46954b159-800x450.jpg,ancient stone temple/tomb ruin amid desert sand dunes
mismatch,wp-page-60444,guideArticle,Food in safaga,Safaga,while-you-are-there,https://travel2egypt.org/guide/safaga/food-in-safaga,https://cdn.sanity.io/images/ufallvd2/production/d09ce9bdb121a84c7a52467a204a5ee95cb90a50-500x333.jpg,Red Sea beach with thatched umbrellas and reef lagoon
mismatch,wp-page-60441,guideArticle,Getting Around safaga,Safaga,while-you-are-there,https://travel2egypt.org/guide/safaga/getting-around-safaga,https://cdn.sanity.io/images/ufallvd2/production/752211618fa4b51d2735c1a62f79efe97d55d53b-1200x900.jpg,People around a campfire beside a desert lake at dusk
mismatch,wp-page-60464,guideArticle,Only in Saint Catherine,Saint Catherine,others,https://travel2egypt.org/guide/saint-catherine/only-in-saint-catherine,https://cdn.sanity.io/images/ufallvd2/production/a382d7c939cdd681d5f006e1cb6bb5e9bab1be1d-1400x930.jpg,colorful Red Sea coral reef with tropical fish
mismatch,wp-page-60461,guideArticle,Things To Do in Saint Catherine,Saint Catherine,while-you-are-there,https://travel2egypt.org/guide/saint-catherine/things-to-do-in-saint-catherine,https://cdn.sanity.io/images/ufallvd2/production/4389bb2d2d81d3a6850a9bf1306d68fc466aeae4-1200x800.jpg,Red Sea coral reef teeming with orange anthias fish
mismatch,wp-page-60486,guideArticle,Getting Around Sharm El Sheikh,Sharm El Sheikh,while-you-are-there,https://travel2egypt.org/guide/sharm-el-sheikh/getting-around-sharm-el-sheikh,https://cdn.sanity.io/images/ufallvd2/production/850bbe58aa0b38d50dbf7bca1db7fc7e2b9107da-1200x900.jpg,four tourists posing with a sandboard atop a desert dune
mismatch,wp-page-145987,guideArticle,Sharm El Sheikh to Jerusalem and Dead Sea Full-Day Tour,Sharm El Sheikh,while-you-are-there,https://travel2egypt.org/guide/sharm-el-sheikh/sharm-el-sheikh-to-jerusalem-and-dead-sea,https://cdn.sanity.io/images/ufallvd2/production/a382d7c939cdd681d5f006e1cb6bb5e9bab1be1d-1400x930.jpg,colorful Red Sea coral reef with tropical fish
mismatch,wp-page-60537,guideArticle,Getting Around Sohag,Sohag,while-you-are-there,https://travel2egypt.org/guide/sohag/getting-around-sohag,https://cdn.sanity.io/images/ufallvd2/production/a382d7c939cdd681d5f006e1cb6bb5e9bab1be1d-1400x930.jpg,colorful Red Sea coral reef with tropical fish
mismatch,wp-page-72336,guideArticle,Ticket Prices for Attractions in Sohag,Sohag,plan-your-trip,https://travel2egypt.org/guide/sohag/ticket-prices-for-attractions-in-sohag,https://cdn.sanity.io/images/ufallvd2/production/a1b7c2869cb4f76b753ee06062511825843fa906-1200x800.jpg,"Valley of the Kings desert road, Luxor"
mismatch,wp-page-254140,guideArticle,Getting Around Suez,Suez,while-you-are-there,https://travel2egypt.org/guide/suez/getting-around-suez,https://cdn.sanity.io/images/ufallvd2/production/850bbe58aa0b38d50dbf7bca1db7fc7e2b9107da-1200x900.jpg,four tourists posing with a sandboard atop a desert dune
mismatch,wp-page-60551,guideArticle,Story of Suez,Suez,introducing,https://travel2egypt.org/guide/suez/story-of-suez,https://cdn.sanity.io/images/ufallvd2/production/50b737e9aa4d82d929668099a1375c81b8a71983-1200x800.jpg,illuminated Nile-side rocky hill at night (Aswan-style riverscape)
mismatch,wp-page-76463,guideArticle,Suez Canal House,Suez,places-to-go,https://travel2egypt.org/guide/suez/suez-canal-house,https://cdn.sanity.io/images/ufallvd2/production/9622726499e42d57244a22eaf51f2dc96f34ac17-600x400.jpg,Red Sea snorkeling boats over turquoise reef water
mismatch,wp-page-60557,guideArticle,Suez Temperature Trends,Suez,plan-your-trip,https://travel2egypt.org/guide/suez/suez-temperature-trends,https://cdn.sanity.io/images/ufallvd2/production/752211618fa4b51d2735c1a62f79efe97d55d53b-1200x900.jpg,People around a campfire beside a desert lake at dusk
mismatch,wp-page-60559,guideArticle,Where To Stay In Suez,Suez,plan-your-trip,https://travel2egypt.org/guide/suez/where-to-stay-in-suez,https://cdn.sanity.io/images/ufallvd2/production/6e761ea1d4cb083c099abf7a6fb4049d6e01f3ff-1600x1067.jpg,double rainbow over a rocky ocean coast (generic non-Egypt seascape)
mismatch,wp-page-60585,guideArticle,Eating Out in Taba,Taba,while-you-are-there,https://travel2egypt.org/guide/taba/eating-out-in-taba,https://cdn.sanity.io/images/ufallvd2/production/d614d7c934781dbcba7b7923a066e9bab4ca1d34-1200x801.jpg,"aquarium tunnel with rays and fish, family silhouetted"
mismatch,wp-page-60586,guideArticle,Only In Taba,Taba,others,https://travel2egypt.org/guide/taba/only-in-taba,https://cdn.sanity.io/images/ufallvd2/production/99715a98802af37b7d55f2a8b730e326e52be52d-1400x933.jpg,Felucca sailing on the Nile
mismatch,wp-page-60604,guideArticle,Only In Wādī Al Natron,Wādī Al Natron,others,https://travel2egypt.org/guide/wadi-el-natrun/only-in-wadi-al-natron,https://cdn.sanity.io/images/ufallvd2/production/a382d7c939cdd681d5f006e1cb6bb5e9bab1be1d-1400x930.jpg,colorful Red Sea coral reef with tropical fish
mismatch,wp-page-60601,guideArticle,Things To Do In Wādī Al Natron,Wādī Al Natron,while-you-are-there,https://travel2egypt.org/guide/wadi-el-natrun/things-to-do-in-wadi-al-natron,https://cdn.sanity.io/images/ufallvd2/production/ce1a64dd285c19b99b75508f953162fc8a7492dc-300x200.jpg,palm trees before a sand-coloured Theban-style temple wall and cliff (Luxor-like)
mismatch,wp-page-60602,guideArticle,Tours In Wadi El Natrun,Wādī Al Natron,others,https://travel2egypt.org/guide/wadi-el-natrun/tours-in-wadi-el-natrun,https://cdn.sanity.io/images/ufallvd2/production/a30372ae0f08f4d2b5c0084ccda6c7e642b55c71-900x600.jpg,ancient Saqqara / Step Pyramid Djoser complex ruins
mismatch,wp-page-60603,guideArticle,Where to Eat in Wadi El Natrun,Wādī Al Natron,while-you-are-there,https://travel2egypt.org/guide/wadi-el-natrun/where-to-eat-in-wadi-el-natrun,https://cdn.sanity.io/images/ufallvd2/production/81a7ccbeaa2921a395b73888f5e96872a1137ebf-800x450.jpg,Karnak-style temple corridor with hieroglyph-carved walls (Luxor Nile-valley monument)
mismatch,wp-page-60914,travelTip,Telephones In Egypt,,,https://travel2egypt.org/travel-tips/telephones-in-egypt,https://cdn.sanity.io/images/ufallvd2/production/11b4ee2760d2f07e41b43c0c61707d7fd7325da0-800x450.jpg,couple sitting on desert dunes
mismatch,wp-page-60906,travelTip,Water Safety in Egypt: Advice for Travelers,,,https://travel2egypt.org/travel-tips/water-safety-in-egypt-advice-for-travelers,https://cdn.sanity.io/images/ufallvd2/production/2c9bd0eb9cd669bafdd277064ec5788dc2410b0a-1280x854.jpg,woman eating breakfast in hotel room with orange juice
weak,wp-page-57838,guideArticle,Food in Abu Simbel,Abu Simbel,while-you-are-there,https://travel2egypt.org/guide/abu-simbel/food-in-abu-simbel,https://cdn.sanity.io/images/ufallvd2/production/b6d7b48baa85d385c0509873deeb75180d5ab00f-800x532.webp,Abu Simbel temple colossi statues close-up
weak,wp-page-58576,guideArticle,Al Arish History,Al Arish,introducing,https://travel2egypt.org/guide/al-arish/al-arish-history,https://cdn.sanity.io/images/ufallvd2/production/18db26b8948c41cff733a17b3ca0c72fe7f97b90-1200x800.jpg,silhouetted group watching sunset over desert dunes
weak,wp-page-58640,guideArticle,How To Go to Al Minya,Al Minya,plan-your-trip,https://travel2egypt.org/guide/al-minya/how-to-go-to-al-minya,https://cdn.sanity.io/images/ufallvd2/production/845f383c1c8ce2b6dfcd8face85afc8dacebd170-1400x933.jpg,Coptic monastery with twin cross-topped bell towers in desert
weak,wp-page-58642,guideArticle,Places to Stay in Al Minya,Al Minya,plan-your-trip,https://travel2egypt.org/guide/al-minya/places-to-stay-in-al-minya,https://cdn.sanity.io/images/ufallvd2/production/9cf91af42d158ac358b709d0ab154f7028f779f2-500x500.jpg,carved columns of an Egyptian temple (Philae/Aswan style)
weak,wp-page-72364,guideArticle,Ticket Prices for Attractions in Al Minya & Asyut,Al Minya,plan-your-trip,https://travel2egypt.org/guide/al-minya/ticket-prices-for-attractions-in-al-minya-asyut,https://cdn.sanity.io/images/ufallvd2/production/b85c7f7d69f27120417b2dcdf5df3a5d99d724d6-800x533.webp,green Nile-valley fields with palms and a distant pyramid
weak,wp-page-58638,guideArticle,Weather In Al Minya,Al Minya,plan-your-trip,https://travel2egypt.org/guide/al-minya/weather-in-al-minya,https://cdn.sanity.io/images/ufallvd2/production/ca6f63ce254cc98b15ee6a21efa99c0996c928c8-400x265.jpg,painted hieroglyphic relief on a temple wall/column
weak,wp-page-58729,guideArticle,History Of Al Wadi Al Gadid,Al Wadi Al Gadid,introducing,https://travel2egypt.org/guide/al-wadi-al-gadid/history-of-al-wadi-al-gadid,https://cdn.sanity.io/images/ufallvd2/production/6b6a55be922af111d07d7a2e5da439f52878fdf1-1100x639.jpg,Ancient Egyptian relief carving of two pharaohs with ankh
weak,wp-page-58736,guideArticle,Where to Stay in Al Wadi Al Gadid,Al Wadi Al Gadid,plan-your-trip,https://travel2egypt.org/guide/al-wadi-al-gadid/where-to-stay-in-al-wadi-al-gadid,https://cdn.sanity.io/images/ufallvd2/production/f1f8723c3aaf4d7a47c6abd4924581b46954b159-800x450.jpg,ancient stone temple/tomb ruin amid desert sand dunes
weak,wp-page-59236,guideArticle,Aswan High Dam,Aswan,places-to-go,https://travel2egypt.org/guide/aswan/aswan-high-dam,https://cdn.sanity.io/images/ufallvd2/production/9e3335b3fa43249f741a749793b157a5b13384d8-1460x942.jpg,Philae Temple seen from the Nile at Aswan
weak,wp-page-59253,guideArticle,Aswan Local Market,Aswan,places-to-go,https://travel2egypt.org/guide/aswan/aswan-local-market,https://cdn.sanity.io/images/ufallvd2/production/7e3965e61e707275f30f1406473ea6fd0f9c2942-1200x800.jpg,Feluccas on the Nile at Aswan with desert hill (Tombs of Nobles)
weak,wp-page-59229,guideArticle,Tombs of the Nobles in Aswan,Aswan,places-to-go,https://travel2egypt.org/guide/aswan/tombs-of-the-nobles-in-aswan,https://cdn.sanity.io/images/ufallvd2/production/d3105b757e190da11114fab6c54920067ba9e83c-1024x768.jpg,Nile-side hotel with palms and moored feluccas
weak,wp-page-59209,guideArticle,Traditional Food in Aswan,Aswan,while-you-are-there,https://travel2egypt.org/guide/aswan/traditional-food-in-aswan,https://cdn.sanity.io/images/ufallvd2/production/99715a98802af37b7d55f2a8b730e326e52be52d-1400x933.jpg,Felucca sailing on the Nile
weak,wp-page-59259,guideArticle,Getting Around Asyut,Asyut,while-you-are-there,https://travel2egypt.org/guide/asyut/getting-around-asyut,https://cdn.sanity.io/images/ufallvd2/production/eee36017ea4bd366846c3912fa0fd89d50d8118f-680x450.jpg,Hathor-headed temple columns (Nile-valley pharaonic temple)
weak,wp-page-59260,guideArticle,History Of Asyut,Asyut,introducing,https://travel2egypt.org/guide/asyut/history-of-asyut,https://cdn.sanity.io/images/ufallvd2/production/f9ba0f054d84e204a8553d1e6fea4ecd8ad6744d-1200x900.jpg,Hiker on a rocky mountain (Sinai/St Catherine style trail)
weak,wp-page-59261,guideArticle,How To Go To Asyut,Asyut,plan-your-trip,https://travel2egypt.org/guide/asyut/how-to-go-to-asyut,https://cdn.sanity.io/images/ufallvd2/production/f15ac1620a3f76cbe1cbb098048d9739808c40b4-1400x931.jpg,Limestone tomb/temple stonework (Saqqara/Giga-style masonry)
